@relation COVID-19 Estimated ICU Beds Occupied by State Timeseries
@attribute ICU_Beds_Occupied_Estimated numeric
@attribute ICU_Beds_Occupied_Total numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@data
119,224,41
908,1244,40
122,141,39
2826,3614,38
545,781,37
1628,2358,42
2685,4066,35
760,962,36
654,822,25
137,220,26
1866,2342,27
392,565,29
120,199,28
1220,2916,31
319,402,32
694,901,33
3210,5210,34
182,284,30
5640,6285,43
71,97,46
419,616,44
1300,1880,45
959,1274,47
854,1570,48
51,125,50
2638,4055,35
773,962,36
544,788,37
1642,2359,42
459,607,49
121,223,41
1108,2170,3
3206,5206,34
690,899,33
316,396,32
1234,2932,31
186,285,30
392,563,29
118,197,28
1839,2345,27
138,220,26
653,825,25
1508,1742,24
125,145,39
897,1234,40
2759,3628,38
1506,2200,15
970,1339,19
5503,6520,9
250,333,7
546,1030,6
862,1313,5
4911,6726,4
767,1011,2
2118,2612,10
1413,1633,1
1118,1762,17
1254,1759,18
851,1219,20
231,309,21
1855,2470,22
647,882,23
99,133,0
608,820,16
151,182,8
213,294,13
437,653,12
152,219,11
2046,3289,14
1094,1762,17
817,1231,20
974,1346,19
438,605,49
54,125,50
96,135,0
1352,1623,1
762,1016,2
4816,6746,4
830,1305,5
1257,1769,18
544,1030,6
950,1266,47
5397,6502,9
2092,2640,10
139,218,11
399,655,12
211,297,13
1997,3285,14
1491,2248,15
606,816,16
255,316,7
140,182,8
784,968,36
61,97,46
2570,4037,35
3189,5212,34
699,891,33
315,388,32
1215,2924,31
180,284,30
2648,3540,38
106,196,28
1826,2339,27
146,205,26
646,823,25
1497,1737,24
1119,2134,3
128,146,39
897,1237,40
227,314,21
109,223,41
1620,2363,42
5546,6206,43
420,617,44
1243,1882,45
512,770,37
1831,2468,22
381,564,29
847,1563,48
620,882,23
424,605,49
916,1263,47
62,97,46
1183,1884,45
418,616,44
5472,6148,43
1612,2358,42
108,221,41
894,1234,40
125,146,39
2612,3582,38
513,772,37
769,965,36
2504,4054,35
3118,5211,34
688,889,33
313,387,32
1158,2927,31
161,284,30
350,563,29
106,194,28
1794,2335,27
136,221,26
627,827,25
1481,1743,24
1093,2136,3
53,125,50
838,1567,48
88,131,0
1445,2241,15
2077,2641,10
134,218,11
400,660,12
206,291,13
1922,3285,14
241,304,7
590,843,16
1079,1762,17
1252,1738,18
945,1330,19
785,1190,20
226,314,21
1806,2466,22
596,872,23
517,1030,6
797,1304,5
